esn,osm
821135,HAYNESGT11
821133,HAYNESGT12
821136,HAYNESGT13
821138,HAYNESGT14
821134,HAYNESGT15
821137,HAYNESGT16
820480,HOLMEN1
821305,HONAZ1
820615,HUNLOCK-1
820616,HUNLOCK-1
820203,IMPERIAL1
820017,IMPERIAL2
296716,IRQFALLS1
296715,IRQFALLS2
808466,IZMIR1
812044,JEMEPPE1
812043,JEMEPPE2
821011,JIANGSU1
821013,JIANGSU3
821498,JIUJIANG-1
821499,JIUJIANG-1
820235,JKSMITHGT10
820234,JKSMITHGT9
820347,KARRATHA-1
820542,KARRATHA-1
809214,KARSTO1
809213,KARSTO2
809151,KENNEDY1
809150,KENNEDY2
808835,KIRKLNDLK-1
808833,KIRKLNDLK-1
808836,KIRKLNDLK-1
812515,KIRKLNDLK4
812825,KLADNO1
812145,KOCAELI2
812484,KOCAELI-3
820372,KOCAELI-3
820033,KORANGI-1
820034,KORANGI-1
820035,KORANGI-3
820205,KORANGI-3
820293,KURSK1
820294,KURSK2
820810,KWINANAGT2
820811,KWINANAGT3
820216,LAGRANGE-1
820217,LAGRANGE-1
820218,LAGRANGE-1
820219,LAGRANGE-1
808663,LAKECOGEN1
808660,LAKECOGEN2
808594,LANAKEN_1
810720,LANGERLO3
810721,LANGERLO4
821332,LANSING1
821330,LANSING2
820221,LANXESS1
820023,LAREDOGT4
820024,LAREDOGT5
812754,LASVILLAS1
812771,LEESTEAM7
812827,LEESTEAM8
820270,LIVNY1
820771,LIYUAN1
820773,LIYUAN2
7778887,LMS100Demo
812826,LYFATENCO1
812956,LYFATENCO1
812736,LYFCOYOT1
812976,LYFCOYOT1
812972,LYFCOYOT2
812931,LYFCUAUT1
812937,LYFECAT1
812870,LYFECAT1
812748,LYFSANCRZ1
812932,LYFSANCRZ1
812918,LYFSANCRZ1
812963,LYFSANCRZ1
812946,LYFVILLAF1
812920,LYFVILLAF1
821225,MARIPOSA1
821226,MARIPOSA1
821227,MARIPOSA1
821228,MARIPOSA1
812834,MARTINIQUE1
821166,MCKEE1
821164,MCKEE2
812118,MDUGLENDV1
810218,MEAUX1
820428,MEDCNHAT15
810793,MEDICINHAT
820042,MELFI1
820366,MGHERAGT1
820368,MGHERAGT2
812334,MICHCUNEO1
820576,MIDDLETWN12
820575,MIDDLETWN12
820573,MIDDLETWN14
820574,MIDDLETWN14
820383,MILLCREEK2
812852,MONDI1
812045,MONSANTO1
820029,MONTEVDEO5
820030,MONTEVDEO6
810468,MOTRIL1
821777,MURRIN1
821514,NANNING1
821515,NANNING2
820172,NESHER1
