,Timestamp,Value,Quality,Tagname
0,2017-06-21 16:32:58.250,0.98527,3,Node-Raw_z
1,2017-06-21 16:32:58.249,0.98494,3,Node-Raw_z
2,2017-06-21 16:32:58.248,0.98494,3,Node-Raw_z
3,2017-06-21 16:32:58.247,0.98494,3,Node-Raw_z
4,2017-06-21 16:32:58.246,0.98494,3,Node-Raw_z
5,2017-06-21 16:32:58.245,0.98494,3,Node-Raw_z
6,2017-06-21 16:32:58.244,0.98494,3,Node-Raw_z
7,2017-06-21 16:32:58.243,0.98494,3,Node-Raw_z
8,2017-06-21 16:32:58.242,0.98498,3,Node-Raw_z
9,2017-06-21 16:32:58.241,0.98498,3,Node-Raw_z
10,2017-06-21 16:32:58.240,0.98498,3,Node-Raw_z
11,2017-06-21 16:32:58.239,0.98498,3,Node-Raw_z
12,2017-06-21 16:32:58.238,0.98498,3,Node-Raw_z
13,2017-06-21 16:32:58.237,0.98498,3,Node-Raw_z
14,2017-06-21 16:32:58.235,0.98498,3,Node-Raw_z
15,2017-06-21 16:32:58.234,0.98498,3,Node-Raw_z
16,2017-06-21 16:32:58.233,0.9858,3,Node-Raw_z
17,2017-06-21 16:32:58.232,0.9858,3,Node-Raw_z
18,2017-06-21 16:32:58.231,0.9858,3,Node-Raw_z
19,2017-06-21 16:32:58.230,0.9858,3,Node-Raw_z
20,2017-06-21 16:32:58.229,0.9858,3,Node-Raw_z
21,2017-06-21 16:32:58.228,0.9858,3,Node-Raw_z
22,2017-06-21 16:32:58.227,0.9858,3,Node-Raw_z
23,2017-06-21 16:32:58.226,0.9858,3,Node-Raw_z
24,2017-06-21 16:32:58.225,0.98474,3,Node-Raw_z
25,2017-06-21 16:32:58.224,0.98474,3,Node-Raw_z
26,2017-06-21 16:32:58.223,0.98474,3,Node-Raw_z
27,2017-06-21 16:32:58.222,0.98474,3,Node-Raw_z
28,2017-06-21 16:32:58.221,0.98474,3,Node-Raw_z
29,2017-06-21 16:32:58.220,0.98474,3,Node-Raw_z
30,2017-06-21 16:32:58.219,0.98474,3,Node-Raw_z
31,2017-06-21 16:32:58.218,0.98474,3,Node-Raw_z
32,2017-06-21 16:32:58.217,0.98477,3,Node-Raw_z
33,2017-06-21 16:32:58.216,0.98477,3,Node-Raw_z
34,2017-06-21 16:32:58.215,0.98477,3,Node-Raw_z
35,2017-06-21 16:32:58.214,0.98477,3,Node-Raw_z
36,2017-06-21 16:32:58.213,0.98477,3,Node-Raw_z
37,2017-06-21 16:32:58.212,0.98477,3,Node-Raw_z
38,2017-06-21 16:32:58.211,0.98477,3,Node-Raw_z
39,2017-06-21 16:32:58.210,0.98477,3,Node-Raw_z
40,2017-06-21 16:32:58.209,0.98589,3,Node-Raw_z
41,2017-06-21 16:32:58.208,0.98589,3,Node-Raw_z
42,2017-06-21 16:32:58.207,0.98589,3,Node-Raw_z
43,2017-06-21 16:32:58.206,0.98589,3,Node-Raw_z
44,2017-06-21 16:32:58.205,0.98589,3,Node-Raw_z
45,2017-06-21 16:32:58.204,0.98589,3,Node-Raw_z
46,2017-06-21 16:32:58.203,0.98589,3,Node-Raw_z
47,2017-06-21 16:32:58.202,0.98589,3,Node-Raw_z
48,2017-06-21 16:32:58.201,0.98443,3,Node-Raw_z
49,2017-06-21 16:32:58.200,0.98443,3,Node-Raw_z
50,2017-06-21 16:32:58.199,0.98443,3,Node-Raw_z
51,2017-06-21 16:32:58.198,0.98443,3,Node-Raw_z
52,2017-06-21 16:32:58.197,0.98443,3,Node-Raw_z
53,2017-06-21 16:32:58.196,0.98443,3,Node-Raw_z
54,2017-06-21 16:32:58.195,0.98443,3,Node-Raw_z
55,2017-06-21 16:32:58.194,0.98443,3,Node-Raw_z
56,2017-06-21 16:32:58.193,0.98365,3,Node-Raw_z
57,2017-06-21 16:32:58.192,0.98365,3,Node-Raw_z
58,2017-06-21 16:32:58.191,0.98365,3,Node-Raw_z
59,2017-06-21 16:32:58.190,0.98365,3,Node-Raw_z
60,2017-06-21 16:32:58.189,0.98365,3,Node-Raw_z
61,2017-06-21 16:32:58.188,0.98365,3,Node-Raw_z
62,2017-06-21 16:32:58.187,0.98365,3,Node-Raw_z
63,2017-06-21 16:32:58.186,0.98365,3,Node-Raw_z
64,2017-06-21 16:32:58.185,0.98478,3,Node-Raw_z
65,2017-06-21 16:32:58.184,0.98478,3,Node-Raw_z
66,2017-06-21 16:32:58.183,0.98478,3,Node-Raw_z
67,2017-06-21 16:32:58.182,0.98478,3,Node-Raw_z
68,2017-06-21 16:32:58.181,0.98478,3,Node-Raw_z
69,2017-06-21 16:32:58.180,0.98478,3,Node-Raw_z
70,2017-06-21 16:32:58.179,0.98478,3,Node-Raw_z
71,2017-06-21 16:32:58.178,0.98478,3,Node-Raw_z
